source_updated_at,fetched_at,forecast_issue_datetime_utc,forecast_issue_date,forecast_issue_hour_utc,forecast_date,horizon_days,horizon_label,location,district,global_id_local,forecast_tmin_c,observed_tmin_c,error_tmin_c,abs_error_tmin_c,forecast_tmax_c,observed_tmax_c,error_tmax_c,abs_error_tmax_c,observed_source_type,observed_source,observation_status,forecast_source,calculated_at
2026-05-15T07:54:23,2026-05-15T12:09:26Z,2026-05-15T07:54:23Z,2026-05-15,07:54,2026-05-18,3,D+3,Matosinhos,Porto,1130800,10.4,9.55,0.85,0.85,16.6,17.1,-0.5,0.5,station_fallback,"IPMA station fallback: daily mean of Pedras Rubras and S. Gens station extrema (station_count=2; station_names=Porto, Pedras Rubras; S. Gens)",matched_station_fallback,IPMA public-data forecast aggregate by local,2026-05-19T13:32:31Z
2026-05-15T07:54:23,2026-05-15T12:09:26Z,2026-05-15T07:54:23Z,2026-05-15,07:54,2026-05-19,4,D+4,Matosinhos,Porto,1130800,13.3,13.4,-0.1,0.1,18.1,19.55,-1.45,1.45,station_fallback,"IPMA station fallback: daily mean of Pedras Rubras and S. Gens station extrema (station_count=2; station_names=Porto, Pedras Rubras; S. Gens)",matched_station_fallback,IPMA public-data forecast aggregate by local,2026-05-20T12:39:30Z
2026-05-15T07:54:23,2026-05-15T12:09:26Z,2026-05-15T07:54:23Z,2026-05-15,07:54,2026-05-20,5,D+5,Matosinhos,Porto,1130800,12.1,11.05,1.05,1.05,19.6,22.65,-3.05,3.05,station_fallback,"IPMA station fallback: daily mean of Pedras Rubras and S. Gens station extrema (station_count=2; station_names=Porto, Pedras Rubras; S. Gens)",matched_station_fallback,IPMA public-data forecast aggregate by local,2026-05-21T13:32:56Z
2026-05-15T07:54:23,2026-05-15T12:09:26Z,2026-05-15T07:54:23Z,2026-05-15,07:54,2026-05-21,6,D+6,Matosinhos,Porto,1130800,13.4,15,-1.6,1.6,21.7,24.55,-2.85,2.85,station_fallback,"IPMA station fallback: daily mean of Pedras Rubras and S. Gens station extrema (station_count=2; station_names=Porto, Pedras Rubras; S. Gens)",matched_station_fallback,IPMA public-data forecast aggregate by local,2026-05-22T12:35:14Z
2026-05-15T07:54:23,2026-05-15T12:09:26Z,2026-05-15T07:54:23Z,2026-05-15,07:54,2026-05-22,7,D+7,Matosinhos,Porto,1130800,14.2,17.8,-3.6,3.6,21.6,24.65,-3.05,3.05,station_fallback,"IPMA station fallback: daily mean of Pedras Rubras and S. Gens station extrema (station_count=2; station_names=Porto, Pedras Rubras; S. Gens)",matched_station_fallback,IPMA public-data forecast aggregate by local,2026-05-23T11:36:26Z
2026-05-15T07:54:23,2026-05-15T12:09:26Z,2026-05-15T07:54:23Z,2026-05-15,07:54,2026-05-23,8,D+8,Matosinhos,Porto,1130800,15,17.05,-2.05,2.05,22.2,25.45,-3.25,3.25,station_fallback,"IPMA station fallback: daily mean of Pedras Rubras and S. Gens station extrema (station_count=2; station_names=Porto, Pedras Rubras; S. Gens)",matched_station_fallback,IPMA public-data forecast aggregate by local,2026-05-24T11:43:12Z
2026-05-15T07:54:23,2026-05-15T12:09:26Z,2026-05-15T07:54:23Z,2026-05-15,07:54,2026-05-24,9,D+9,Matosinhos,Porto,1130800,14.8,15.95,-1.15,1.15,22.4,21.8,0.6,0.6,station_fallback,"IPMA station fallback: daily mean of Pedras Rubras and S. Gens station extrema (station_count=2; station_names=Porto, Pedras Rubras; S. Gens)",matched_station_fallback,IPMA public-data forecast aggregate by local,2026-05-25T13:43:41Z
2026-05-15T19:54:47,2026-05-15T21:19:18Z,2026-05-15T19:54:47Z,2026-05-15,19:54,2026-05-16,1,D+1,Matosinhos,Porto,1130800,10.3,8.8,1.5,1.5,17.6,17,0.6,0.6,station_fallback,"IPMA station fallback: daily mean of Pedras Rubras and S. Gens station extrema (station_count=2; station_names=Porto, Pedras Rubras; S. Gens)",matched_station_fallback,IPMA public-data forecast aggregate by local,2026-05-17T11:33:36Z
2026-05-15T19:54:47,2026-05-15T21:19:18Z,2026-05-15T19:54:47Z,2026-05-15,19:54,2026-05-17,2,D+2,Matosinhos,Porto,1130800,11.9,10.1,1.8,1.8,17.3,16.8,0.5,0.5,station_fallback,"IPMA station fallback: daily mean of Pedras Rubras and S. Gens station extrema (station_count=2; station_names=Porto, Pedras Rubras; S. Gens)",matched_station_fallback,IPMA public-data forecast aggregate by local,2026-05-18T10:09:05Z
2026-05-15T19:54:47,2026-05-15T21:19:18Z,2026-05-15T19:54:47Z,2026-05-15,19:54,2026-05-18,3,D+3,Matosinhos,Porto,1130800,10.8,9.55,1.25,1.25,16.5,17.1,-0.6,0.6,station_fallback,"IPMA station fallback: daily mean of Pedras Rubras and S. Gens station extrema (station_count=2; station_names=Porto, Pedras Rubras; S. Gens)",matched_station_fallback,IPMA public-data forecast aggregate by local,2026-05-19T13:32:31Z
2026-05-15T19:54:47,2026-05-15T21:19:18Z,2026-05-15T19:54:47Z,2026-05-15,19:54,2026-05-19,4,D+4,Matosinhos,Porto,1130800,13.7,13.4,0.3,0.3,17.8,19.55,-1.75,1.75,station_fallback,"IPMA station fallback: daily mean of Pedras Rubras and S. Gens station extrema (station_count=2; station_names=Porto, Pedras Rubras; S. Gens)",matched_station_fallback,IPMA public-data forecast aggregate by local,2026-05-20T12:39:30Z
2026-05-15T19:54:47,2026-05-15T21:19:18Z,2026-05-15T19:54:47Z,2026-05-15,19:54,2026-05-20,5,D+5,Matosinhos,Porto,1130800,12.6,11.05,1.55,1.55,19.4,22.65,-3.25,3.25,station_fallback,"IPMA station fallback: daily mean of Pedras Rubras and S. Gens station extrema (station_count=2; station_names=Porto, Pedras Rubras; S. Gens)",matched_station_fallback,IPMA public-data forecast aggregate by local,2026-05-21T13:32:56Z
2026-05-15T19:54:47,2026-05-15T21:19:18Z,2026-05-15T19:54:47Z,2026-05-15,19:54,2026-05-21,6,D+6,Matosinhos,Porto,1130800,12.8,15,-2.2,2.2,20.7,24.55,-3.85,3.85,station_fallback,"IPMA station fallback: daily mean of Pedras Rubras and S. Gens station extrema (station_count=2; station_names=Porto, Pedras Rubras; S. Gens)",matched_station_fallback,IPMA public-data forecast aggregate by local,2026-05-22T12:35:14Z
2026-05-15T19:54:47,2026-05-15T21:19:18Z,2026-05-15T19:54:47Z,2026-05-15,19:54,2026-05-22,7,D+7,Matosinhos,Porto,1130800,13.8,17.8,-4,4,21.7,24.65,-2.95,2.95,station_fallback,"IPMA station fallback: daily mean of Pedras Rubras and S. Gens station extrema (station_count=2; station_names=Porto, Pedras Rubras; S. Gens)",matched_station_fallback,IPMA public-data forecast aggregate by local,2026-05-23T11:36:26Z
2026-05-15T19:54:47,2026-05-15T21:19:18Z,2026-05-15T19:54:47Z,2026-05-15,19:54,2026-05-23,8,D+8,Matosinhos,Porto,1130800,14.8,17.05,-2.25,2.25,21.5,25.45,-3.95,3.95,station_fallback,"IPMA station fallback: daily mean of Pedras Rubras and S. Gens station extrema (station_count=2; station_names=Porto, Pedras Rubras; S. Gens)",matched_station_fallback,IPMA public-data forecast aggregate by local,2026-05-24T11:43:12Z
2026-05-15T19:54:47,2026-05-15T21:19:18Z,2026-05-15T19:54:47Z,2026-05-15,19:54,2026-05-24,9,D+9,Matosinhos,Porto,1130800,15.1,15.95,-0.85,0.85,22.4,21.8,0.6,0.6,station_fallback,"IPMA station fallback: daily mean of Pedras Rubras and S. Gens station extrema (station_count=2; station_names=Porto, Pedras Rubras; S. Gens)",matched_station_fallback,IPMA public-data forecast aggregate by local,2026-05-25T13:43:41Z
2026-05-16T07:55:34,2026-05-16T11:18:22Z,2026-05-16T07:55:34Z,2026-05-16,07:55,2026-05-16,0,D+0,Matosinhos,Porto,1130800,9.9,8.8,1.1,1.1,17.3,17,0.3,0.3,station_fallback,"IPMA station fallback: daily mean of Pedras Rubras and S. Gens station extrema (station_count=2; station_names=Porto, Pedras Rubras; S. Gens)",matched_station_fallback,IPMA public-data forecast aggregate by local,2026-05-17T11:33:36Z
2026-05-16T07:55:34,2026-05-16T11:18:22Z,2026-05-16T07:55:34Z,2026-05-16,07:55,2026-05-17,1,D+1,Matosinhos,Porto,1130800,11.8,10.1,1.7,1.7,16.9,16.8,0.1,0.1,station_fallback,"IPMA station fallback: daily mean of Pedras Rubras and S. Gens station extrema (station_count=2; station_names=Porto, Pedras Rubras; S. Gens)",matched_station_fallback,IPMA public-data forecast aggregate by local,2026-05-18T10:09:05Z
