"fetched_at","location","district","dico","requested_latitude","requested_longitude","grid_latitude","grid_longitude","elevation_m","timezone","model","valid_date","lead_days","lead_label","temperature_2m_min_c","temperature_2m_max_c","hourly_values_n","source"
"2026-05-29T12:24:24Z","Matosinhos","Porto","1308","41.1805","-8.681","41.1875","-8.6875","20","Europe/Lisbon","best_match","2025-12-01","3","D+3","7.4","13.8","24","Open-Meteo Previous Runs API"
"2026-05-29T12:24:24Z","Matosinhos","Porto","1308","41.1805","-8.681","41.1875","-8.6875","20","Europe/Lisbon","best_match","2025-12-01","4","D+4","9.1","14.1","24","Open-Meteo Previous Runs API"
"2026-05-29T12:24:24Z","Matosinhos","Porto","1308","41.1805","-8.681","41.1875","-8.6875","20","Europe/Lisbon","best_match","2025-12-01","5","D+5","14.1","16.8","24","Open-Meteo Previous Runs API"
"2026-05-29T12:24:24Z","Matosinhos","Porto","1308","41.1805","-8.681","41.1875","-8.6875","20","Europe/Lisbon","best_match","2025-12-01","6","D+6","12.1","16.6","24","Open-Meteo Previous Runs API"
"2026-05-29T12:24:24Z","Matosinhos","Porto","1308","41.1805","-8.681","41.1875","-8.6875","20","Europe/Lisbon","best_match","2025-12-01","7","D+7","9.4","14.1","24","Open-Meteo Previous Runs API"
"2026-05-29T12:24:24Z","Matosinhos","Porto","1308","41.1805","-8.681","41.1875","-8.6875","20","Europe/Lisbon","best_match","2025-12-02","0","D+0","9.8","12.4","24","Open-Meteo Previous Runs API"
"2026-05-29T12:24:24Z","Matosinhos","Porto","1308","41.1805","-8.681","41.1875","-8.6875","20","Europe/Lisbon","best_match","2025-12-02","1","D+1","9.9","13.2","24","Open-Meteo Previous Runs API"
"2026-05-29T12:24:24Z","Matosinhos","Porto","1308","41.1805","-8.681","41.1875","-8.6875","20","Europe/Lisbon","best_match","2025-12-02","2","D+2","10.2","14.1","24","Open-Meteo Previous Runs API"
"2026-05-29T12:24:24Z","Matosinhos","Porto","1308","41.1805","-8.681","41.1875","-8.6875","20","Europe/Lisbon","best_match","2025-12-02","3","D+3","10","12.8","24","Open-Meteo Previous Runs API"
"2026-05-29T12:24:24Z","Matosinhos","Porto","1308","41.1805","-8.681","41.1875","-8.6875","20","Europe/Lisbon","best_match","2025-12-02","4","D+4","10.2","13.2","24","Open-Meteo Previous Runs API"
"2026-05-29T12:24:24Z","Matosinhos","Porto","1308","41.1805","-8.681","41.1875","-8.6875","20","Europe/Lisbon","best_match","2025-12-02","5","D+5","12.3","16.4","24","Open-Meteo Previous Runs API"
"2026-05-29T12:24:24Z","Matosinhos","Porto","1308","41.1805","-8.681","41.1875","-8.6875","20","Europe/Lisbon","best_match","2025-12-02","6","D+6","12.3","16.8","24","Open-Meteo Previous Runs API"
"2026-05-29T12:24:24Z","Matosinhos","Porto","1308","41.1805","-8.681","41.1875","-8.6875","20","Europe/Lisbon","best_match","2025-12-02","7","D+7","10.7","14.9","24","Open-Meteo Previous Runs API"
"2026-05-29T12:24:24Z","Matosinhos","Porto","1308","41.1805","-8.681","41.1875","-8.6875","20","Europe/Lisbon","best_match","2025-12-03","0","D+0","5.8","13.8","24","Open-Meteo Previous Runs API"
"2026-05-29T12:24:24Z","Matosinhos","Porto","1308","41.1805","-8.681","41.1875","-8.6875","20","Europe/Lisbon","best_match","2025-12-03","1","D+1","6.2","13.8","24","Open-Meteo Previous Runs API"
"2026-05-29T12:24:24Z","Matosinhos","Porto","1308","41.1805","-8.681","41.1875","-8.6875","20","Europe/Lisbon","best_match","2025-12-03","2","D+2","6.6","12.6","24","Open-Meteo Previous Runs API"
"2026-05-29T12:24:24Z","Matosinhos","Porto","1308","41.1805","-8.681","41.1875","-8.6875","20","Europe/Lisbon","best_match","2025-12-03","3","D+3","7.1","13.2","24","Open-Meteo Previous Runs API"
"2026-05-29T12:24:24Z","Matosinhos","Porto","1308","41.1805","-8.681","41.1875","-8.6875","20","Europe/Lisbon","best_match","2025-12-03","4","D+4","7.7","12.9","24","Open-Meteo Previous Runs API"
"2026-05-29T12:24:24Z","Matosinhos","Porto","1308","41.1805","-8.681","41.1875","-8.6875","20","Europe/Lisbon","best_match","2025-12-03","5","D+5","11.8","13.3","24","Open-Meteo Previous Runs API"
"2026-05-29T12:24:24Z","Matosinhos","Porto","1308","41.1805","-8.681","41.1875","-8.6875","20","Europe/Lisbon","best_match","2025-12-03","6","D+6","11.9","14.7","24","Open-Meteo Previous Runs API"
"2026-05-29T12:24:24Z","Matosinhos","Porto","1308","41.1805","-8.681","41.1875","-8.6875","20","Europe/Lisbon","best_match","2025-12-03","7","D+7","6.6","11.8","24","Open-Meteo Previous Runs API"
"2026-05-29T12:24:24Z","Matosinhos","Porto","1308","41.1805","-8.681","41.1875","-8.6875","20","Europe/Lisbon","best_match","2025-12-04","0","D+0","13.2","15","24","Open-Meteo Previous Runs API"
"2026-05-29T12:24:24Z","Matosinhos","Porto","1308","41.1805","-8.681","41.1875","-8.6875","20","Europe/Lisbon","best_match","2025-12-04","1","D+1","13.2","15.6","24","Open-Meteo Previous Runs API"
"2026-05-29T12:24:24Z","Matosinhos","Porto","1308","41.1805","-8.681","41.1875","-8.6875","20","Europe/Lisbon","best_match","2025-12-04","2","D+2","12.4","15.4","24","Open-Meteo Previous Runs API"
"2026-05-29T12:24:24Z","Matosinhos","Porto","1308","41.1805","-8.681","41.1875","-8.6875","20","Europe/Lisbon","best_match","2025-12-04","3","D+3","13.4","15.1","24","Open-Meteo Previous Runs API"
"2026-05-29T12:24:24Z","Matosinhos","Porto","1308","41.1805","-8.681","41.1875","-8.6875","20","Europe/Lisbon","best_match","2025-12-04","4","D+4","12.1","14.1","24","Open-Meteo Previous Runs API"
"2026-05-29T12:24:24Z","Matosinhos","Porto","1308","41.1805","-8.681","41.1875","-8.6875","20","Europe/Lisbon","best_match","2025-12-04","5","D+5","12.3","15","24","Open-Meteo Previous Runs API"
"2026-05-29T12:24:24Z","Matosinhos","Porto","1308","41.1805","-8.681","41.1875","-8.6875","20","Europe/Lisbon","best_match","2025-12-04","6","D+6","13.2","16.3","24","Open-Meteo Previous Runs API"
"2026-05-29T12:24:24Z","Matosinhos","Porto","1308","41.1805","-8.681","41.1875","-8.6875","20","Europe/Lisbon","best_match","2025-12-04","7","D+7","7.5","12.9","24","Open-Meteo Previous Runs API"
"2026-05-29T12:24:24Z","Matosinhos","Porto","1308","41.1805","-8.681","41.1875","-8.6875","20","Europe/Lisbon","best_match","2025-12-05","0","D+0","12.9","16.4","24","Open-Meteo Previous Runs API"
"2026-05-29T12:24:24Z","Matosinhos","Porto","1308","41.1805","-8.681","41.1875","-8.6875","20","Europe/Lisbon","best_match","2025-12-05","1","D+1","12.4","16.4","24","Open-Meteo Previous Runs API"
"2026-05-29T12:24:24Z","Matosinhos","Porto","1308","41.1805","-8.681","41.1875","-8.6875","20","Europe/Lisbon","best_match","2025-12-05","2","D+2","12.9","16.9","24","Open-Meteo Previous Runs API"
"2026-05-29T12:24:24Z","Matosinhos","Porto","1308","41.1805","-8.681","41.1875","-8.6875","20","Europe/Lisbon","best_match","2025-12-05","3","D+3","12.9","17","24","Open-Meteo Previous Runs API"
"2026-05-29T12:24:24Z","Matosinhos","Porto","1308","41.1805","-8.681","41.1875","-8.6875","20","Europe/Lisbon","best_match","2025-12-05","4","D+4","13.1","16.9","24","Open-Meteo Previous Runs API"
"2026-05-29T12:24:24Z","Matosinhos","Porto","1308","41.1805","-8.681","41.1875","-8.6875","20","Europe/Lisbon","best_match","2025-12-05","5","D+5","12.8","14.9","24","Open-Meteo Previous Runs API"
"2026-05-29T12:24:24Z","Matosinhos","Porto","1308","41.1805","-8.681","41.1875","-8.6875","20","Europe/Lisbon","best_match","2025-12-05","6","D+6","13.1","15.1","24","Open-Meteo Previous Runs API"
"2026-05-29T12:24:24Z","Matosinhos","Porto","1308","41.1805","-8.681","41.1875","-8.6875","20","Europe/Lisbon","best_match","2025-12-05","7","D+7","4.7","11.9","24","Open-Meteo Previous Runs API"
"2026-05-29T12:24:24Z","Matosinhos","Porto","1308","41.1805","-8.681","41.1875","-8.6875","20","Europe/Lisbon","best_match","2025-12-06","0","D+0","15.4","16.2","24","Open-Meteo Previous Runs API"
"2026-05-29T12:24:24Z","Matosinhos","Porto","1308","41.1805","-8.681","41.1875","-8.6875","20","Europe/Lisbon","best_match","2025-12-06","1","D+1","15.4","16.5","24","Open-Meteo Previous Runs API"
"2026-05-29T12:24:24Z","Matosinhos","Porto","1308","41.1805","-8.681","41.1875","-8.6875","20","Europe/Lisbon","best_match","2025-12-06","2","D+2","15.6","16.4","24","Open-Meteo Previous Runs API"
"2026-05-29T12:24:24Z","Matosinhos","Porto","1308","41.1805","-8.681","41.1875","-8.6875","20","Europe/Lisbon","best_match","2025-12-06","3","D+3","15.6","16.5","24","Open-Meteo Previous Runs API"
"2026-05-29T12:24:24Z","Matosinhos","Porto","1308","41.1805","-8.681","41.1875","-8.6875","20","Europe/Lisbon","best_match","2025-12-06","4","D+4","15.9","16.5","24","Open-Meteo Previous Runs API"
"2026-05-29T12:24:24Z","Matosinhos","Porto","1308","41.1805","-8.681","41.1875","-8.6875","20","Europe/Lisbon","best_match","2025-12-06","5","D+5","16","17.3","24","Open-Meteo Previous Runs API"
"2026-05-29T12:24:24Z","Matosinhos","Porto","1308","41.1805","-8.681","41.1875","-8.6875","20","Europe/Lisbon","best_match","2025-12-06","6","D+6","13.8","16","24","Open-Meteo Previous Runs API"
"2026-05-29T12:24:24Z","Matosinhos","Porto","1308","41.1805","-8.681","41.1875","-8.6875","20","Europe/Lisbon","best_match","2025-12-06","7","D+7","9.3","15.4","24","Open-Meteo Previous Runs API"
"2026-05-29T12:24:24Z","Matosinhos","Porto","1308","41.1805","-8.681","41.1875","-8.6875","20","Europe/Lisbon","best_match","2025-12-07","0","D+0","14.9","16.2","24","Open-Meteo Previous Runs API"
"2026-05-29T12:24:24Z","Matosinhos","Porto","1308","41.1805","-8.681","41.1875","-8.6875","20","Europe/Lisbon","best_match","2025-12-07","1","D+1","14.2","16","24","Open-Meteo Previous Runs API"
"2026-05-29T12:24:24Z","Matosinhos","Porto","1308","41.1805","-8.681","41.1875","-8.6875","20","Europe/Lisbon","best_match","2025-12-07","2","D+2","14.4","15.8","24","Open-Meteo Previous Runs API"
"2026-05-29T12:24:24Z","Matosinhos","Porto","1308","41.1805","-8.681","41.1875","-8.6875","20","Europe/Lisbon","best_match","2025-12-07","3","D+3","14.7","16.2","24","Open-Meteo Previous Runs API"
"2026-05-29T12:24:24Z","Matosinhos","Porto","1308","41.1805","-8.681","41.1875","-8.6875","20","Europe/Lisbon","best_match","2025-12-07","4","D+4","14.8","16.4","24","Open-Meteo Previous Runs API"
"2026-05-29T12:24:24Z","Matosinhos","Porto","1308","41.1805","-8.681","41.1875","-8.6875","20","Europe/Lisbon","best_match","2025-12-07","5","D+5","15.4","17","24","Open-Meteo Previous Runs API"
"2026-05-29T12:24:24Z","Matosinhos","Porto","1308","41.1805","-8.681","41.1875","-8.6875","20","Europe/Lisbon","best_match","2025-12-07","6","D+6","15.6","16.8","24","Open-Meteo Previous Runs API"
"2026-05-29T12:24:24Z","Matosinhos","Porto","1308","41.1805","-8.681","41.1875","-8.6875","20","Europe/Lisbon","best_match","2025-12-07","7","D+7","10.8","16","24","Open-Meteo Previous Runs API"
"2026-05-29T12:24:24Z","Matosinhos","Porto","1308","41.1805","-8.681","41.1875","-8.6875","20","Europe/Lisbon","best_match","2025-12-08","0","D+0","14.8","17.5","24","Open-Meteo Previous Runs API"
"2026-05-29T12:24:24Z","Matosinhos","Porto","1308","41.1805","-8.681","41.1875","-8.6875","20","Europe/Lisbon","best_match","2025-12-08","1","D+1","14.1","16.7","24","Open-Meteo Previous Runs API"
"2026-05-29T12:24:24Z","Matosinhos","Porto","1308","41.1805","-8.681","41.1875","-8.6875","20","Europe/Lisbon","best_match","2025-12-08","2","D+2","13.9","16.6","24","Open-Meteo Previous Runs API"
"2026-05-29T12:24:24Z","Matosinhos","Porto","1308","41.1805","-8.681","41.1875","-8.6875","20","Europe/Lisbon","best_match","2025-12-08","3","D+3","14.6","16.8","24","Open-Meteo Previous Runs API"
"2026-05-29T12:24:24Z","Matosinhos","Porto","1308","41.1805","-8.681","41.1875","-8.6875","20","Europe/Lisbon","best_match","2025-12-08","4","D+4","14.8","16.9","24","Open-Meteo Previous Runs API"
"2026-05-29T12:24:24Z","Matosinhos","Porto","1308","41.1805","-8.681","41.1875","-8.6875","20","Europe/Lisbon","best_match","2025-12-08","5","D+5","15.3","16.7","24","Open-Meteo Previous Runs API"
"2026-05-29T12:24:24Z","Matosinhos","Porto","1308","41.1805","-8.681","41.1875","-8.6875","20","Europe/Lisbon","best_match","2025-12-08","6","D+6","15.7","16.6","24","Open-Meteo Previous Runs API"
"2026-05-29T12:24:24Z","Matosinhos","Porto","1308","41.1805","-8.681","41.1875","-8.6875","20","Europe/Lisbon","best_match","2025-12-08","7","D+7","13.3","15.3","24","Open-Meteo Previous Runs API"
"2026-05-29T12:24:24Z","Matosinhos","Porto","1308","41.1805","-8.681","41.1875","-8.6875","20","Europe/Lisbon","best_match","2025-12-09","0","D+0","13.9","16.5","24","Open-Meteo Previous Runs API"
"2026-05-29T12:24:24Z","Matosinhos","Porto","1308","41.1805","-8.681","41.1875","-8.6875","20","Europe/Lisbon","best_match","2025-12-09","1","D+1","13.9","16.1","24","Open-Meteo Previous Runs API"
"2026-05-29T12:24:24Z","Matosinhos","Porto","1308","41.1805","-8.681","41.1875","-8.6875","20","Europe/Lisbon","best_match","2025-12-09","2","D+2","14.3","16.2","24","Open-Meteo Previous Runs API"
"2026-05-29T12:24:24Z","Matosinhos","Porto","1308","41.1805","-8.681","41.1875","-8.6875","20","Europe/Lisbon","best_match","2025-12-09","3","D+3","14.2","16.2","24","Open-Meteo Previous Runs API"
"2026-05-29T12:24:24Z","Matosinhos","Porto","1308","41.1805","-8.681","41.1875","-8.6875","20","Europe/Lisbon","best_match","2025-12-09","4","D+4","14.8","16","24","Open-Meteo Previous Runs API"
"2026-05-29T12:24:24Z","Matosinhos","Porto","1308","41.1805","-8.681","41.1875","-8.6875","20","Europe/Lisbon","best_match","2025-12-09","5","D+5","15.4","16.5","24","Open-Meteo Previous Runs API"
"2026-05-29T12:24:24Z","Matosinhos","Porto","1308","41.1805","-8.681","41.1875","-8.6875","20","Europe/Lisbon","best_match","2025-12-09","6","D+6","15.7","16.5","24","Open-Meteo Previous Runs API"
"2026-05-29T12:24:24Z","Matosinhos","Porto","1308","41.1805","-8.681","41.1875","-8.6875","20","Europe/Lisbon","best_match","2025-12-09","7","D+7","12.3","15.6","24","Open-Meteo Previous Runs API"
"2026-05-29T12:24:24Z","Matosinhos","Porto","1308","41.1805","-8.681","41.1875","-8.6875","20","Europe/Lisbon","best_match","2025-12-10","0","D+0","11.5","15.8","24","Open-Meteo Previous Runs API"
"2026-05-29T12:24:24Z","Matosinhos","Porto","1308","41.1805","-8.681","41.1875","-8.6875","20","Europe/Lisbon","best_match","2025-12-10","1","D+1","10.7","15.1","24","Open-Meteo Previous Runs API"
"2026-05-29T12:24:24Z","Matosinhos","Porto","1308","41.1805","-8.681","41.1875","-8.6875","20","Europe/Lisbon","best_match","2025-12-10","2","D+2","10.9","15.1","24","Open-Meteo Previous Runs API"
"2026-05-29T12:24:24Z","Matosinhos","Porto","1308","41.1805","-8.681","41.1875","-8.6875","20","Europe/Lisbon","best_match","2025-12-10","3","D+3","13.1","15.4","24","Open-Meteo Previous Runs API"
"2026-05-29T12:24:24Z","Matosinhos","Porto","1308","41.1805","-8.681","41.1875","-8.6875","20","Europe/Lisbon","best_match","2025-12-10","4","D+4","10.1","14.9","24","Open-Meteo Previous Runs API"
"2026-05-29T12:24:24Z","Matosinhos","Porto","1308","41.1805","-8.681","41.1875","-8.6875","20","Europe/Lisbon","best_match","2025-12-10","5","D+5","13.7","15.5","24","Open-Meteo Previous Runs API"
"2026-05-29T12:24:24Z","Matosinhos","Porto","1308","41.1805","-8.681","41.1875","-8.6875","20","Europe/Lisbon","best_match","2025-12-10","6","D+6","13.3","15.7","24","Open-Meteo Previous Runs API"
"2026-05-29T12:24:24Z","Matosinhos","Porto","1308","41.1805","-8.681","41.1875","-8.6875","20","Europe/Lisbon","best_match","2025-12-10","7","D+7","11.1","14.6","24","Open-Meteo Previous Runs API"
"2026-05-29T12:24:24Z","Matosinhos","Porto","1308","41.1805","-8.681","41.1875","-8.6875","20","Europe/Lisbon","best_match","2025-12-11","0","D+0","9.6","14.1","24","Open-Meteo Previous Runs API"
"2026-05-29T12:24:24Z","Matosinhos","Porto","1308","41.1805","-8.681","41.1875","-8.6875","20","Europe/Lisbon","best_match","2025-12-11","1","D+1","9.6","14.3","24","Open-Meteo Previous Runs API"
"2026-05-29T12:24:24Z","Matosinhos","Porto","1308","41.1805","-8.681","41.1875","-8.6875","20","Europe/Lisbon","best_match","2025-12-11","2","D+2","8.9","14.6","24","Open-Meteo Previous Runs API"
"2026-05-29T12:24:24Z","Matosinhos","Porto","1308","41.1805","-8.681","41.1875","-8.6875","20","Europe/Lisbon","best_match","2025-12-11","3","D+3","9.4","14.1","24","Open-Meteo Previous Runs API"
"2026-05-29T12:24:24Z","Matosinhos","Porto","1308","41.1805","-8.681","41.1875","-8.6875","20","Europe/Lisbon","best_match","2025-12-11","4","D+4","9.4","14.7","24","Open-Meteo Previous Runs API"
"2026-05-29T12:24:24Z","Matosinhos","Porto","1308","41.1805","-8.681","41.1875","-8.6875","20","Europe/Lisbon","best_match","2025-12-11","5","D+5","12.6","15.7","24","Open-Meteo Previous Runs API"
"2026-05-29T12:24:24Z","Matosinhos","Porto","1308","41.1805","-8.681","41.1875","-8.6875","20","Europe/Lisbon","best_match","2025-12-11","6","D+6","10.9","15.6","24","Open-Meteo Previous Runs API"
"2026-05-29T12:24:24Z","Matosinhos","Porto","1308","41.1805","-8.681","41.1875","-8.6875","20","Europe/Lisbon","best_match","2025-12-11","7","D+7","8.1","12.9","24","Open-Meteo Previous Runs API"
"2026-05-29T12:24:24Z","Matosinhos","Porto","1308","41.1805","-8.681","41.1875","-8.6875","20","Europe/Lisbon","best_match","2025-12-12","0","D+0","11.2","13.7","24","Open-Meteo Previous Runs API"
